"Pctcd","County","DistCD","DistLD"
"PM0001","Pima",3,4
"PM0002","Pima",3,4
"PM0003","Pima",3,4
"PM0004","Pima",3,4
"PM0005","Pima",3,11
"PM0006","Pima",1,11
"PM0007","Pima",3,2
"PM0008","Pima",3,2
"PM0009","Pima",2,10
"PM0010","Pima",2,2
"PM0011","Pima",2,14
"PM0012","Pima",1,11
"PM0013","Pima",1,11
"PM0014","Pima",1,11
"PM0015","Pima",2,9
"PM0016","Pima",3,3
"PM0017","Pima",3,3
"PM0018","Pima",3,3
"PM0019","Pima",3,2
"PM0020","Pima",3,3
"PM0021","Pima",3,3
"PM0022","Pima",3,3
"PM0023","Pima",3,3
"PM0024","Pima",1,11
"PM0025","Pima",3,3
"PM0026","Pima",3,3
"PM0027","Pima",2,11
"PM0028","Pima",3,4
"PM0029","Pima",2,9
"PM0030","Pima",2,9
"PM0031","Pima",2,9
"PM0032","Pima",2,9
"PM0033","Pima",3,3
"PM0034","Pima",2,3
"PM0035","Pima",1,11
"PM0036","Pima",2,3
"PM0037","Pima",3,3
"PM0038","Pima",2,9
"PM0039","Pima",2,10
"PM0040","Pima",1,11
"PM0041","Pima",3,3
"PM0042","Pima",3,3
"PM0043","Pima",3,3
"PM0044","Pima",3,3
"PM0045","Pima",3,3
"PM0046","Pima",2,14
"PM0047","Pima",3,2
"PM0048","Pima",3,2
"PM0049","Pima",2,14
"PM0050","Pima",3,2
"PM0051","Pima",3,3
"PM0052","Pima",3,3
"PM0053","Pima",3,2
"PM0054","Pima",3,2
"PM0055","Pima",2,9
"PM0056","Pima",2,9
"PM0057","Pima",2,9
"PM0058","Pima",2,9
"PM0059","Pima",3,4
"PM0060","Pima",3,4
"PM0061","Pima",2,9
"PM0062","Pima",3,3
"PM0063","Pima",2,10
"PM0064","Pima",3,2
"PM0065","Pima",2,14
"PM0066","Pima",3,2
"PM0067","Pima",2,9
"PM0068","Pima",2,9
"PM0069","Pima",2,10
"PM0070","Pima",3,11
"PM0071","Pima",3,4
"PM0072","Pima",2,9
"PM0073","Pima",2,9
"PM0074","Pima",2,2
"PM0075","Pima",2,9
"PM0076","Pima",3,4
"PM0077","Pima",1,11
"PM0078","Pima",2,10
"PM0079","Pima",2,11
"PM0080","Pima",2,10
"PM0081","Pima",2,9
"PM0082","Pima",2,10
"PM0083","Pima",2,2
"PM0084","Pima",2,2
"PM0085","Pima",2,9
"PM0086","Pima",2,2
"PM0087","Pima",2,9
"PM0088","Pima",2,9
"PM0089","Pima",2,9
"PM0090","Pima",2,14
"PM0091","Pima",2,9
"PM0092","Pima",3,3
"PM0093","Pima",2,10
"PM0094","Pima",2,10
"PM0095","Pima",2,14
"PM0096","Pima",2,10
"PM0097","Pima",3,3
"PM0098","Pima",2,10
"PM0099","Pima",2,9
"PM0100","Pima",2,9
"PM0101","Pima",3,3
"PM0102","Pima",3,3
"PM0103","Pima",2,10
"PM0104","Pima",1,11
"PM0105","Pima",2,10
"PM0106","Pima",2,9
"PM0107","Pima",2,10
"PM0108","Pima",2,10
"PM0109","Pima",2,14
"PM0110","Pima",3,3
"PM0111","Pima",2,10
"PM0112","Pima",2,9
"PM0113","Pima",2,10
"PM0114","Pima",2,2
"PM0115","Pima",1,11
"PM0116","Pima",2,10
"PM0117","Pima",2,10
"PM0118","Pima",2,10
"PM0119","Pima",2,10
"PM0120","Pima",2,10
"PM0121","Pima",2,10
"PM0122","Pima",2,10
"PM0123","Pima",2,10
"PM0124","Pima",2,10
"PM0125","Pima",2,9
"PM0126","Pima",2,10
"PM0127","Pima",1,11
"PM0128","Pima",2,10
"PM0129","Pima",2,10
"PM0130","Pima",2,10
"PM0131","Pima",2,10
"PM0132","Pima",2,10
"PM0133","Pima",2,10
"PM0134","Pima",2,9
"PM0135","Pima",3,4
"PM0136","Pima",3,4
"PM0137","Pima",3,4
"PM0138","Pima",3,4
"PM0139","Pima",3,2
"PM0140","Pima",2,14
"PM0141","Pima",2,2
"PM0142","Pima",2,9
"PM0143","Pima",3,3
"PM0144","Pima",3,3
"PM0145","Pima",1,11
"PM0146","Pima",2,9
"PM0147","Pima",2,2
"PM0148","Pima",2,9
"PM0149","Pima",2,9
"PM0150","Pima",1,9
"PM0151","Pima",3,11
"PM0152","Pima",3,4
"PM0153","Pima",2,3
"PM0154","Pima",2,3
"PM0155","Pima",3,2
"PM0156","Pima",2,10
"PM0157","Pima",3,3
"PM0158","Pima",2,9
"PM0159","Pima",3,2
"PM0160","Pima",3,3
"PM0161","Pima",3,11
"PM0162","Pima",2,9
"PM0163","Pima",2,9
"PM0164","Pima",2,9
"PM0165","Pima",2,14
"PM0166","Pima",2,3
"PM0167","Pima",2,9
"PM0168","Pima",3,2
"PM0169","Pima",1,11
"PM0170","Pima",2,9
"PM0171","Pima",2,9
"PM0172","Pima",1,11
"PM0173","Pima",1,11
"PM0174","Pima",2,10
"PM0175","Pima",1,11
"PM0176","Pima",2,14
"PM0177","Pima",2,10
"PM0178","Pima",2,10
"PM0179","Pima",2,10
"PM0180","Pima",2,10
"PM0181","Pima",2,10
"PM0182","Pima",2,10
"PM0183","Pima",2,10
"PM0184","Pima",1,11
"PM0185","Pima",2,9
"PM0186","Pima",2,11
"PM0187","Pima",2,9
"PM0188","Pima",1,11
"PM0189","Pima",2,10
"PM0190","Pima",3,4
"PM0191","Pima",2,9
"PM0192","Pima",2,10
"PM0193","Pima",2,2
"PM0194","Pima",1,11
"PM0195","Pima",2,14
"PM0196","Pima",3,2
"PM0197","Pima",2,10
"PM0198","Pima",2,14
"PM0199","Pima",2,10
"PM0200","Pima",1,11
"PM0201","Pima",2,9
"PM0202","Pima",2,9
"PM0203","Pima",3,3
"PM0204","Pima",3,2
"PM0205","Pima",2,2
"PM0206","Pima",2,14
"PM0207","Pima",2,2
"PM0208","Pima",3,4
"PM0209","Pima",2,2
"PM0210","Pima",2,9
"PM0211","Pima",2,9
"PM0212","Pima",1,11
"PM0213","Pima",1,9
"PM0214","Pima",2,9
"PM0215","Pima",3,11
"PM0216","Pima",1,11
"PM0217","Pima",2,2
"PM0218","Pima",2,10
"PM0219","Pima",2,9
"PM0220","Pima",2,10
"PM0221","Pima",2,14
"PM0222","Pima",3,11
"PM0223","Pima",1,11
"PM0224","Pima",2,14
"PM0225","Pima",2,9
"PM0226","Pima",2,9
"PM0227","Pima",2,2
"PM0228","Pima",3,11
"PM0229","Pima",2,14
"PM0230","Pima",2,9
"PM0231","Pima",2,2
"PM0232","Pima",2,2
"PM0233","Pima",3,3
"PM0234","Pima",3,3
"PM0235","Pima",3,3
"PM0236","Pima",3,4
"PM0237","Pima",2,9
"PM0238","Pima",2,9
"PM0239","Pima",2,9
"PM0240","Pima",2,14
"PM0241","Pima",2,9
"PM0242","Pima",1,11
"PM0243","Pima",2,10
"PM0244","Pima",3,2
"PM0245","Pima",3,3
"PM0246","Pima",3,3
"PM0247","Pima",3,3
"PM0248","Pima",3,3
"PM0249","Pima",2,14
"AP0002","APACHE",1,7
"AP0003","APACHE",1,7
"AP0005","APACHE",1,7
"AP0009","APACHE",1,7
"AP0010","APACHE",1,7
"AP0011","APACHE",1,7
"AP0012","APACHE",1,7
"AP0013","APACHE",1,7
"AP0016","APACHE",1,7
"AP0017","APACHE",1,7
"AP0019","APACHE",1,7
"AP0022","APACHE",1,7
"AP0023","APACHE",1,7
"AP0025","APACHE",1,7
"AP0027","APACHE",1,7
"AP0029","APACHE",1,7
"AP0031","APACHE",1,7
"AP0033","APACHE",1,7
"AP0035","APACHE",1,7
"AP0037","APACHE",1,7
"AP0039","APACHE",1,7
"AP0041","APACHE",1,7
"AP0043","APACHE",1,7
"AP0045","APACHE",1,7
"AP0046","APACHE",1,7
"AP0048","APACHE",1,7
"AP0049","APACHE",1,7
"AP0051","APACHE",1,7
"AP0052","APACHE",1,7
"AP0054","APACHE",1,7
"AP0056","APACHE",1,7
"AP0058","APACHE",1,7
"AP0059","APACHE",1,7
"AP0061","APACHE",1,7
"AP0065","APACHE",1,7
"AP0067","APACHE",1,7
"AP0070","APACHE",1,7
"AP0074","APACHE",1,7
"AP0076","APACHE",1,7
"AP0078","APACHE",1,7
"AP0080","APACHE",1,7
"AP0082","APACHE",1,7
"AP0084","APACHE",1,7
"AP0086","APACHE",1,7
"AP0088","APACHE",1,7
"CH0001","COCHISE",2,14
"CH0002","COCHISE",2,14
"CH0003","COCHISE",2,14
"CH0004","COCHISE",2,14
"CH0005","COCHISE",2,14
"CH0006","COCHISE",2,14
"CH0007","COCHISE",2,14
"CH0008","COCHISE",2,14
"CH0009","COCHISE",2,14
"CH0010","COCHISE",2,14
"CH0011","COCHISE",2,14
"CH0012","COCHISE",2,14
"CH0013","COCHISE",2,14
"CH0014","COCHISE",2,14
"CH0015","COCHISE",2,14
"CH0016","COCHISE",2,14
"CH0017","COCHISE",2,14
"CH0018","COCHISE",2,14
"CH0019","COCHISE",2,14
"CH0020","COCHISE",2,14
"CH0021","COCHISE",2,14
"CH0022","COCHISE",2,14
"CH0023","COCHISE",2,14
"CH0024","COCHISE",2,14
"CH0025","COCHISE",2,14
"CH0026","COCHISE",2,14
"CH0027","COCHISE",2,14
"CH0028","COCHISE",2,14
"CH0029","COCHISE",2,14
"CH0030","COCHISE",2,14
"CH0031","COCHISE",2,14
"CH0032","COCHISE",2,14
"CH0033","COCHISE",2,14
"CH0034","COCHISE",2,14
"CH0035","COCHISE",2,14
"CH0036","COCHISE",2,14
"CH0037","COCHISE",2,14
"CH0038","COCHISE",2,14
"CH0039","COCHISE",2,14
"CH0040","COCHISE",2,14
"CH0041","COCHISE",2,14
"CH0042","COCHISE",2,14
"CH0043","COCHISE",2,14
"CH0044","COCHISE",2,14
"CH0045","COCHISE",2,14
"CH0046","COCHISE",2,14
"CH0047","COCHISE",2,14
"CH0048","COCHISE",2,14
"CH0049","COCHISE",2,14
"CN0001","COCONINO",1,6
"CN0002","COCONINO",1,6
"CN0003","COCONINO",1,6
"CN0004","COCONINO",1,6
"CN0005","COCONINO",1,6
"CN0006","COCONINO",1,6
"CN0007","COCONINO",1,6
"CN0008","COCONINO",1,6
"CN0009","COCONINO",1,6
"CN0010","COCONINO",1,6
"CN0011","COCONINO",1,6
"CN0012","COCONINO",1,6
"CN0013","COCONINO",1,6
"CN0014","COCONINO",1,6
"CN0015","COCONINO",1,6
"CN0016","COCONINO",1,6
"CN0017","COCONINO",1,6
"CN0018","COCONINO",1,6
"CN0019","COCONINO",1,6
"CN0020","COCONINO",1,6
"CN0021","COCONINO",1,6
"CN0022","COCONINO",1,6
"CN0023","COCONINO",1,6
"CN0024","COCONINO",1,6
"CN0025","COCONINO",1,6
"CN0026","COCONINO",1,6
"CN0040","COCONINO",1,6
"CN0041","COCONINO",1,6
"CN0042","COCONINO",1,7
"CN0043","COCONINO",1,7
"CN0047","COCONINO",1,7
"CN0048","COCONINO",1,7
"CN0050","COCONINO",1,6
"CN0051","COCONINO",1,7
"CN0052","COCONINO",1,6
"CN0053","COCONINO",1,6
"CN0055","COCONINO",1,7
"CN0056","COCONINO",1,6
"CN0058","COCONINO",1,7
"CN0059","COCONINO",1,6
"CN0060","COCONINO",1,7
"CN0061","COCONINO",1,7
"CN0062","COCONINO",1,6
"CN0063","COCONINO",1,6
"CN0064","COCONINO",1,7
"CN0065","COCONINO",1,7
"CN0066","COCONINO",1,6
"CN0067","COCONINO",1,7
"CN0069","COCONINO",1,7
"CN0070","COCONINO",1,7
"CN0071","COCONINO",1,7
"CN0072","COCONINO",1,7
"CN0073","COCONINO",1,7
"CN0074","COCONINO",1,7
"CN0075","COCONINO",1,7
"CN0079","COCONINO",1,6
"CN0080","COCONINO",1,6
"CN0082","COCONINO",1,6
"CN0083","COCONINO",1,6
"CN0084","COCONINO",1,6
"CN0085","COCONINO",1,6
"CN0086","COCONINO",1,7
"CN0088","COCONINO",1,7
"CN0090","COCONINO",1,7
"CN0092","COCONINO",1,7
"CN0093","COCONINO",1,7
"CN0094","COCONINO",1,7
"CN0095","COCONINO",1,7
"CN0097","COCONINO",1,6
"CN0098","COCONINO",1,6
"CN0099","COCONINO",1,6
"GI0100","GILA",1,8
"GI0105","GILA",1,8
"GI0110","GILA",1,8
"GI0115","GILA",1,8
"GI0120","GILA",1,8
"GI0125","GILA",1,8
"GI0130","GILA",1,8
"GI0135","GILA",1,8
"GI0140","GILA",1,8
"GI0150","GILA",1,8
"GI0155","GILA",1,8
"GI0160","GILA",1,8
"GI0165","GILA",1,8
"GI0170","GILA",1,8
"GI0175","GILA",1,8
"GI0180","GILA",1,8
"GI0185","GILA",1,8
"GI0300","GILA",1,8
"GI0320","GILA",1,6
"GI0400","GILA",1,7
"GI0405","GILA",1,7
"GI0410","GILA",1,7
"GI0200","GILA",4,6
"GI0205","GILA",4,6
"GI0210","GILA",4,6
"GI0215","GILA",4,6
"GI0220","GILA",4,6
"GI0225","GILA",4,6
"GI0230","GILA",4,6
"GI0235","GILA",4,6
"GI0240","GILA",4,6
"GI0305","GILA",4,6
"GI0310","GILA",4,6
"GI0315","GILA",4,6
"GI0325","GILA",4,6
"GI0330","GILA",4,6
"GI0335","GILA",4,6
"GI0340","GILA",4,6
"GI0345","GILA",4,6
"GM0001","GRAHAM",1,14
"GM0002","GRAHAM",1,14
"GM0003","GRAHAM",1,14
"GM0004","GRAHAM",1,14
"GM0005","GRAHAM",1,14
"GM0006","GRAHAM",1,14
"GM0007","GRAHAM",1,14
"GM0008","GRAHAM",1,14
"GM0009","GRAHAM",1,14
"GM0010","GRAHAM",1,14
"GM0011","GRAHAM",1,7
"GM0012","GRAHAM",1,14
"GM0013","GRAHAM",1,14
"GM0014","GRAHAM",1,14
"GM0015","GRAHAM",1,14
"GM0016","GRAHAM",1,7
"GM0017","GRAHAM",1,14
"GM0018","GRAHAM",1,14
"GM0019","GRAHAM",1,14
"GM0020","GRAHAM",1,14
"GM0021","GRAHAM",1,14
"GM0022","GRAHAM",1,14
"GN0001","GREENLEE",1,14
"GN0002","GREENLEE",1,14
"GN0003","GREENLEE",1,14
"GN0004","GREENLEE",1,14
"GN0005","GREENLEE",1,14
"GN0006","GREENLEE",1,14
"GN0007","GREENLEE",1,14
"GN0008","GREENLEE",1,14
"LP0051","LA_PAZ",4,5
"LP0052","LA_PAZ",4,5
"LP0054","LA_PAZ",4,5
"LP0055","LA_PAZ",4,5
"LP0056","LA_PAZ",4,5
"LP0057","LA_PAZ",4,5
"LP0058","LA_PAZ",4,5
"LP0059","LA_PAZ",4,5
"LP0060","LA_PAZ",4,5
"LP0062","LA_PAZ",4,5
"LP0063","LA_PAZ",4,5
"LP0064","LA_PAZ",4,5
"MO0223","MOHAVE",1,7
"MO0224","MOHAVE",1,7
"MO0201","MOHAVE",4,5
"MO0202","MOHAVE",4,5
"MO0203","MOHAVE",4,5
"MO0204","MOHAVE",4,5
"MO0205","MOHAVE",4,5
"MO0206","MOHAVE",4,5
"MO0207","MOHAVE",4,5
"MO0208","MOHAVE",4,5
"MO0209","MOHAVE",4,5
"MO0210","MOHAVE",4,5
"MO0211","MOHAVE",4,5
"MO0212","MOHAVE",4,5
"MO0213","MOHAVE",4,5
"MO0214","MOHAVE",4,5
"MO0215","MOHAVE",4,5
"MO0216","MOHAVE",4,5
"MO0217","MOHAVE",4,5
"MO0218","MOHAVE",4,5
"MO0219","MOHAVE",4,5
"MO0220","MOHAVE",4,5
"MO0221","MOHAVE",4,5
"MO0222","MOHAVE",4,5
"NA0001","NAVAJO",1,7
"NA0002","NAVAJO",1,7
"NA0003","NAVAJO",1,7
"NA0004","NAVAJO",1,7
"NA0005","NAVAJO",1,7
"NA0006","NAVAJO",1,7
"NA0007","NAVAJO",1,6
"NA0008","NAVAJO",1,6
"NA0009","NAVAJO",1,6
"NA0010","NAVAJO",1,6
"NA0011","NAVAJO",1,6
"NA0012","NAVAJO",1,7
"NA0013","NAVAJO",1,7
"NA0014","NAVAJO",1,7
"PN0001","PINAL",1,8
"PN0004","PINAL",1,8
"PN0005","PINAL",1,8
"PN0006","PINAL",1,8
"PN0007","PINAL",1,8
"PN0008","PINAL",1,11
"PN0009","PINAL",1,11
"PN0010","PINAL",1,11
"PN0011","PINAL",1,8
"PN0012","PINAL",1,8
"PN0013","PINAL",1,8
"PN0014","PINAL",1,8
"PN0015","PINAL",1,11
"PN0016","PINAL",1,11
"PN0017","PINAL",1,8
"PN0018","PINAL",1,8
"PN0019","PINAL",1,8
"PN0020","PINAL",1,8
"PN0021","PINAL",1,8
"PN0022","PINAL",1,8
"PN0025","PINAL",1,8
"PN0029","PINAL",1,8
"PN0030","PINAL",1,11
"PN0031","PINAL",1,11
"PN0032","PINAL",1,8
"PN0033","PINAL",1,8
"PN0034","PINAL",1,8
"PN0035","PINAL",1,8
"PN0036","PINAL",1,8
"PN0037","PINAL",1,11
"PN0038","PINAL",1,11
"PN0039","PINAL",1,11
"PN0041","PINAL",1,8
"PN0050","PINAL",1,8
"PN0054","PINAL",1,11
"PN0055","PINAL",1,11
"PN0060","PINAL",1,8
"PN0061","PINAL",1,8
"PN0062","PINAL",1,8
"PN0067","PINAL",1,11
"PN0073","PINAL",1,11
"PN0074","PINAL",1,11
"PN0077","PINAL",1,11
"PN0078","PINAL",1,11
"PN0079","PINAL",1,11
"PN0080","PINAL",1,11
"PN0081","PINAL",1,8
"PN0082","PINAL",1,8
"PN0083","PINAL",1,8
"PN0090","PINAL",1,11
"PN0091","PINAL",1,11
"PN0092","PINAL",1,11
"PN0093","PINAL",1,8
"PN0099","PINAL",1,8
"PN0100","PINAL",1,11
"PN0101","PINAL",1,11
"PN0102","PINAL",1,11
"PN0103","PINAL",1,7
"PN0104","PINAL",1,11
"PN0105","PINAL",1,11
"PN0053","PINAL",3,4
